"id_auto";"SANDRE";"auteur_apa";"cd_apa"
121783;"7587";"REF_OMNIDIA";"FSTA"
121798;"6647";"REF_OMNIDIA";"FBNL"
121800;"9528";"REF_OMNIDIA";"FCPS"
121802;"6649";"REF_OMNIDIA";"FCPI"
121808;"6668";"REF_OMNIDIA";"FDIL"
121811;"6669";"REF_OMNIDIA";"FDOR"
121816;"6689";"REF_OMNIDIA";"FMIN"
121818;"6692";"REF_OMNIDIA";"FOBL"
121820;"6705";"REF_OMNIDIA";"FREI"
121823;"6715";"REF_OMNIDIA";"FTNS"
121841;"9536";"REF_OMNIDIA";"FRGP"
121856;"7590";"REF_OMNIDIA";"FCRE"
121859;"7591";"REF_OMNIDIA";"FHAW"
121861;"9405";"REF_OMNIDIA";"FKRA"
121863;"7593";"REF_OMNIDIA";"FRAM"
121869;"7599";"REF_OMNIDIA";"FRUN"
121935;"7608";"REF_OMNIDIA";"GCUT"
121936;"7609";"REF_OMNIDIA";"GOHA"
121942;"7613";"REF_OMNIDIA";"GOLO"
121944;"7614";"REF_OMNIDIA";"GQUA"
121950;"7619";"REF_OMNIDIA";"GACO"
121953;"7620";"REF_OMNIDIA";"GATU"
121956;"7621";"REF_OMNIDIA";"GACT"
121958;"7624";"REF_OMNIDIA";"GAFI"
121960;"7625";"REF_OMNIDIA";"GAMO"
121962;"7627";"REF_OMNIDIA";"GAPR"
121965;"7629";"REF_OMNIDIA";"GASB"
121967;"7630";"REF_OMNIDIA";"GANT"
121969;"7631";"REF_OMNIDIA";"GAPI"
121971;"7632";"REF_OMNIDIA";"GARC"
121973;"7636";"REF_OMNIDIA";"GAUT"
121979;"7641";"REF_OMNIDIA";"GCAR"
121981;"7644";"REF_OMNIDIA";"GCST"
121985;"7650";"REF_OMNIDIA";"GCCT"
121987;"7653";"REF_OMNIDIA";"GDIC"
121990;"7655";"REF_OMNIDIA";"GEXG"
121992;"7656";"REF_OMNIDIA";"GEMI"
121994;"7660";"REF_OMNIDIA";"GGAU"
121999;"7665";"REF_OMNIDIA";"GHAS"
122004;"7667";"REF_OMNIDIA";"GHEL"
122007;"7668";"REF_OMNIDIA";"GHIN"
122009;"7671";"REF_OMNIDIA";"GITB"
122020;"7677";"REF_OMNIDIA";"GKCA"
122022;"7678";"REF_OMNIDIA";"GKIS"
122024;"7680";"REF_OMNIDIA";"GLAG"
122029;"7686";"REF_OMNIDIA";"GLIT"
122036;"7694";"REF_OMNIDIA";"GNZE"
122038;"7696";"REF_OMNIDIA";"GOCU"
122059;"7711";"REF_OMNIDIA";"GPFA"
122061;"7712";"REF_OMNIDIA";"GPRC"
122066;"7717";"REF_OMNIDIA";"GPHO"
122068;"7718";"REF_OMNIDIA";"GPTE"
122071;"7720";"REF_OMNIDIA";"GQHA"
122073;"7723";"REF_OMNIDIA";"GSEP"
122075;"7724";"REF_OMNIDIA";"GSAN"
122077;"7725";"REF_OMNIDIA";"GSKV"
122086;"7735";"REF_OMNIDIA";"GVLT"
122088;"7741";"REF_OMNIDIA";"GOEX"
122090;"7742";"REF_OMNIDIA";"GOLT"
122096;"7744";"REF_OMNIDIA";"GSAE"
