"ABRE";"DENOMINATIONS.SANS.AUTEUR";"FAMILLE";"GENRE";"ESPECE";"CodeValid";"CodeValidAnormale"
"GBAU";"Gomphonema brasiliense var. acuta";"NA";"GOMPHONEMA";"Gomphonema brasiliense";"GBAU";"GBAU"
"GBDO";"Gomphonema brasiliense var. demerarae f. obtusa";"NA";"GOMPHONEMA";"Gomphonema brasiliense";"GMGU";"GMGU"
"GBDR";"Gomphonema brasiliense var. demerarae";"NA";"GOMPHONEMA";"Gomphonema brasiliense";"GDEM";"GDEM"
"GBRD";"Gomphonema brasiliensoides";"NA";"GOMPHONEMA";"Gomphonema brasiliensoides";"GBRD";"GBRD"
"GBRE";"Gomphonema brebissonii";"NA";"GOMPHONEMA";"Gomphonema brebissonii";"GBRE";"GBRE"
"GBRU";"Gomphonema brunii";"NA";"GOMPHONEMA";"Gomphonema brunii";"AFBR";"AFBR"
"GBUK";"Gomphonema bukycanyona";"NA";"GOMPHONEMA";"Gomphonema bukycanyona";"GBUK";"GBUK"
"GBUT";"Gomphonema butantanum";"NA";"GOMPHONEMA";"Gomphonema butantanum";"GBUT";"GBUT"
"GCAC";"Gomphonema calcareum";"NA";"GOMPHONEMA";"Gomphonema calcareum";"GCAC";"GCAC"
"GCLF";"Gomphonema calcifugum";"NA";"GOMPHONEMA";"Gomphonema calcifugum";"GCFU";"GCFU"
"GCFO";"Gomphonema californicum";"NA";"GOMPHONEMA";"Gomphonema californicum";"GCFO";"GCFO"
"GCAM";"Gomphonema camburnii";"NA";"GOMPHONEMA";"Gomphonema camburnii";"GCAM";"GCAM"
"GCAD";"Gomphonema campodunense";"NA";"GOMPHONEMA";"Gomphonema campodunense";"GCAD";"GCAD"
"GCAN";"Gomphonema candelariae";"NA";"GOMPHONEMA";"Gomphonema candelariae";"GCAN";"GCAN"
"GCAE";"Gomphonema candelariae var. elliptica";"NA";"GOMPHONEMA";"Gomphonema candelariae";"GCAE";"GCAE"
"GCLN";"Gomphonema candelariae var. lanceolata";"NA";"GOMPHONEMA";"Gomphonema candelariae";"GCLN";"GCLN"
"GCMI";"Gomphonema candelariae var. minor";"NA";"GOMPHONEMA";"Gomphonema candelariae";"GCMI";"GCMI"
"GCMA";"Gomphonema capitatum var. macilentum";"NA";"GOMPHONEMA";"Gomphonema capitatum";"GCMA";"GCMA"
"GCAP";"Gomphonema capitatum";"NA";"GOMPHONEMA";"Gomphonema capitatum";"GOPA";"GOPA"
"GCAO";"Gomphonema capitoccultum";"NA";"GOMPHONEMA";"Gomphonema capitoccultum";"GCAO";"GCAO"
"GCPS";"Gomphonema capsulare";"NA";"GOMPHONEMA";"Gomphonema capsulare";"GCPS";"GCPS"
"GCAL";"Gomphonema carlsenii";"NA";"GOMPHONEMA";"Gomphonema carlsenii";"GPTA";"GPTA"
"GCAR";"Gomphonema carolinense";"NA";"GOMPHONEMA";"Gomphonema carolinense";"GCAR";"GCAR"
"GCTR";"Gomphonema catarinensis";"NA";"GOMPHONEMA";"Gomphonema catarinensis";"GCTR";"GCTR"
"GCTM";"Gomphonema catarinensis var. misionera";"NA";"GOMPHONEMA";"Gomphonema catarinensis";"GCTM";"GCTM"
"GCAT";"Gomphonema cathedrale";"NA";"GOMPHONEMA";"Gomphonema cathedrale";"GCAT";"GCAT"
"GCEL";"Gomphonema celatum";"NA";"GOMPHONEMA";"Gomphonema celatum";"GCEL";"GCEL"
"GCHI";"Gomphonema chinense";"NA";"GOMPHONEMA";"Gomphonema chinense";"GCHI";"GCHI"
"GCHO";"Gomphonema cholnokyi";"NA";"GOMPHONEMA";"Gomphonema cholnokyi";"GCHO";"GCHO"
"GCHR";"Gomphonema christenseni";"NA";"GOMPHONEMA";"Gomphonema christenseni";"GCHR";"GCHR"
"GCHU";"Gomphonema chubichuensis";"NA";"GOMPHONEMA";"Gomphonema chubichuensis";"GSHU";"GSHU"
"GCHT";"Gomphonema chubichuensis f. anormale";"NA";"GOMPHONEMA";"Gomphonema chubichuensis";"GCHT";"DEFO"
"GCIT";"Gomphonema citera";"NA";"GOMPHONEMA";"Gomphonema citera";"GACI";"GACI"
"GCLV";"Gomphonema clava";"NA";"GOMPHONEMA";"Gomphonema clava";"GCLV";"GCLV"
"GCVT";"Gomphonema clavatulum";"NA";"GOMPHONEMA";"Gomphonema clavatulum";"GCVT";"GCVT"
"GCLA";"Gomphonema clavatum";"NA";"GOMPHONEMA";"Gomphonema clavatum";"GCLA";"GCLA"
"GCLC";"Gomphonema clerici";"NA";"GOMPHONEMA";"Gomphonema clerici";"GCLC";"GCLC"
"GCLE";"Gomphonema clevei";"NA";"GOMPHONEMA";"Gomphonema clevei";"GCLE";"GCLE"
"GCLT";"Gomphonema clevei f. anormale";"NA";"GOMPHONEMA";"Gomphonema clevei";"GCLT";"DEFO"
"GCIN";"Gomphonema clevei var. inaequilongum";"NA";"GOMPHONEMA";"Gomphonema clevei";"GINA";"GINA"
"GCJA";"Gomphonema clevei var. javanica";"NA";"GOMPHONEMA";"Gomphonema clevei";"GSUN";"GSUN"
"GCOZ";"Gomphonema clevei var. oryzae";"NA";"GOMPHONEMA";"Gomphonema clevei";"GCOZ";"GCOZ"
"GCOM";"Gomphonema commutatum";"NA";"GOMPHONEMA";"Gomphonema commutatum";"GMCO";"GMCO"
"GCCU";"Gomphonema commutatum f. curta";"NA";"GOMPHONEMA";"Gomphonema commutatum";"GCCU";"GCCU"
"GCOF";"Gomphonema confusum";"NA";"GOMPHONEMA";"Gomphonema confusum";"GCOF";"GCOF"
"GCST";"Gomphonema consector";"NA";"GOMPHONEMA";"Gomphonema consector";"GCST";"GCST"
"GCCT";"Gomphonema constrictum var. capitatum f. typica";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GOPA";"GOPA"
"GCPE";"Gomphonema constrictum var. peruvianum";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GCPE";"GCPE"
"GCON";"Gomphonema constrictum";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GTRU";"GTRU"
"GCOA";"Gomphonema constrictum f. angusta";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GAGL";"GAGL"
"GCOP";"Gomphonema constrictum f. parva";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GTRU";"GTRU"
"GCCA";"Gomphonema constrictum var. capitatum";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GOPA";"GOPA"
"GCCC";"Gomphonema constrictum var. capitatum f. curta";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GMCU";"GMCU"
"GCGA";"Gomphonema constrictum var. gautieri";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GGTI";"GGTI"
"GCSC";"Gomphonema constrictum var. schmidtii";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GCSC";"GCSC"
"GCSB";"Gomphonema constrictum var. subcapitatum";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GSUC";"GSUC"
"GCTU";"Gomphonema constrictum var. tumidum";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GCTU";"GCTU"
"GCOE";"Gomphonema constrictum var. elongata";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GCOE";"GCOE"
"GCHK";"Gomphonema constrictum var. hankensis";"NA";"GOMPHONEMA";"Gomphonema constrictum";"GCHK";"GCHK"
"GCTN";"Gomphonema continuum";"NA";"GOMPHONEMA";"Gomphonema continuum";"GCTN";"GCTN"
"GCTT";"Gomphonema contraturris";"NA";"GOMPHONEMA";"Gomphonema contraturris";"GCTT";"GCTT"
"GCOR";"Gomphonema coronatum";"NA";"GOMPHONEMA";"Gomphonema coronatum";"GCOR";"GCOR"
"GCRT";"Gomphonema correntinum";"NA";"GOMPHONEMA";"Gomphonema correntinum";"GCRT";"GCRT"
"GCRS";"Gomphonema corsicum";"NA";"GOMPHONEMA";"Gomphonema corsicum";"GCRS";"GCRS"
"GCOS";"Gomphonema costei";"NA";"GOMPHONEMA";"Gomphonema costei";"GCOS";"GCOS"
"GCRA";"Gomphonema crassicingulatum";"NA";"GOMPHONEMA";"Gomphonema crassicingulatum";"GCRA";"GCRA"
"GCDL";"Gomphonema crocodilei";"NA";"GOMPHONEMA";"Gomphonema crocodilei";"GCDL";"GCDL"
"GCUF";"Gomphonema cruciferum";"NA";"GOMPHONEMA";"Gomphonema cruciferum";"GCUF";"GCUF"
"GCUM";"Gomphonema cumrhis";"NA";"GOMPHONEMA";"Gomphonema cumrhis";"GCUM";"GCUM"
"GCUN";"Gomphonema cuneolus";"NA";"GOMPHONEMA";"Gomphonema cuneolus";"GCUN";"GCUN"
"GCTO";"Gomphonema curatorum";"NA";"GOMPHONEMA";"Gomphonema curatorum";"GCTO";"GCTO"
"GCUR";"Gomphonema curtum";"NA";"GOMPHONEMA";"Gomphonema curtum";"GMCU";"GMCU"
"GCVA";"Gomphonema curvatum";"NA";"GOMPHONEMA";"Gomphonema curvatum                      ";"RABB";"RABB"
"GCMR";"Gomphonema curvatum var. marinum";"NA";"GOMPHONEMA";"Gomphonema curvatum          ";"RMAR";"RMAR"
"GCUV";"Gomphonema curvipedatum";"NA";"GOMPHONEMA";"Gomphonema curvipedatum";"GCUV";"GCUV"
"GCVR";"Gomphonema curvirostrum";"NA";"GOMPHONEMA";"Gomphonema curvirostrum";"DCUV";"DCUV"
"GCBC";"Gomphonema cymbelliclinum";"NA";"GOMPHONEMA";"Gomphonema cymbelliclinum";"GCBC";"GCBC"
"GDAP";"Gomphonema daphnoides";"NA";"GOMPHONEMA";"Gomphonema daphnoides";"GDAP";"GDAP"
"GDAR";"Gomphonema darwinii";"NA";"GOMPHONEMA";"Gomphonema darwinii";"GDAR";"GDAR"
"GDBI";"Gomphonema delicatula (delicatulum) var. bipunctata";"NA";"GOMPHONEMA";"Gomphonema delicatula (delicatulum)";"GDEL";"GDEL"
"GDEL";"Gomphonema delicatula";"NA";"GOMPHONEMA";"Gomphonema delicatula";"GDEL";"GDEL"
"GDEM";"Gomphonema demerarae";"NA";"GOMPHONEMA";"Gomphonema demerarae";"GDEM";"GDEM"
"GDMS";"Gomphonema demersum";"NA";"GOMPHONEMA";"Gomphonema demersum";"GDMS";"GDMS"
"GDSS";"Gomphonema densistriatum";"NA";"GOMPHONEMA";"Gomphonema densistriatum";"GDSS";"GDSS"
"GDTA";"Gomphonema dentata";"NA";"GOMPHONEMA";"Gomphonema dentata";"DDEN";"DDEN"
"GDES";"Gomphonema designatum";"NA";"GOMPHONEMA";"Gomphonema designatum";"GDES";"GDES"
"GDHA";"Gomphonema dharwarensis";"NA";"GOMPHONEMA";"Gomphonema dharwarensis";"GDHA";"GDHA"
"GDPU";"Gomphonema dichotomum var. pumilum";"NA";"GOMPHONEMA";"Gomphonema dichotomum";"GPUM";"GPUM"
"GDVI";"Gomphonema dichotomum var. vibrio";"NA";"GOMPHONEMA";"Gomphonema dichotomum";"GVBR";"GVBR"
"GDIC";"Gomphonema dichotomum";"NA";"GOMPHONEMA";"Gomphonema dichotomum";"GDIC";"GDIC"
"GDVA";"Gomphonema dichotomum var. vibrio f. attenuatum";"NA";"GOMPHONEMA";"Gomphonema dichotomum";"GDVA";"GDVA"
"GDIF";"Gomphonema difformum";"NA";"GOMPHONEMA";"Gomphonema difformum";"GDIF";"GDIF"
"GDIM";"Gomphonema diminutum";"NA";"GOMPHONEMA";"Gomphonema diminutum";"GDIM";"GDIM"
"GDIN";"Gomphonema dintara";"NA";"GOMPHONEMA";"Gomphonema dintara";"GDIN";"GDIN"
"GDGR";"Gomphonema disgracile";"NA";"GOMPHONEMA";"Gomphonema disgracile";"GDGR";"GDGR"
"GODI";"Gomphonema distans";"NA";"GOMPHONEMA";"Gomphonema distans";"GODI";"GODI"
"GDST";"Gomphonema distincte-striatum";"NA";"GOMPHONEMA";"Gomphonema distincte-striatum";"GDST";"GDST"
"GDOJ";"Gomphonema dojranense";"NA";"GOMPHONEMA";"Gomphonema dojranense";"GDOJ";"GDOJ"
"GDOM";"Gomphonema domniciae";"NA";"GOMPHONEMA";"Gomphonema domniciae";"GPDO";"GPDO"
"GDOO";"Gomphonema doonensis";"NA";"GOMPHONEMA";"Gomphonema doonensis";"GDOO";"GDOO"
"GDRO";"Gomphonema drouetii";"NA";"GOMPHONEMA";"Gomphonema drouetii";"GDRO";"GDRO"
"GDRU";"Gomphonema drutelingense";"NA";"GOMPHONEMA";"Gomphonema drutelingense";"GDRU";"GDRU"
"GDUB";"Gomphonema dubravicense";"NA";"GOMPHONEMA";"Gomphonema dubravicense";"GKRA";"GKRA"
"GDUL";"Gomphonema dulmaae";"NA";"GOMPHONEMA";"Gomphonema dulmaae";"GDUL";"GDUL"
"GDUM";"Gomphonema dumbeana";"NA";"GOMPHONEMA";"Gomphonema dumbeana";"BMAI";"BMAI"
"GDDI";"Gomphonema dumbeana var. distans";"NA";"GOMPHONEMA";"Gomphonema dumbeana";"BMAI";"BMAI"
"GDOC";"Gomphonema dumbeana var. octensis";"NA";"GOMPHONEMA";"Gomphonema dumbeana";"BMAI";"BMAI"
"GDUP";"Gomphonema duplipunctatum";"NA";"GOMPHONEMA";"Gomphonema duplipunctatum";"GDUP";"GDUP"
"GEGR";"Gomphonema egregium";"NA";"GOMPHONEMA";"Gomphonema egregium";"GDEL";"GDEL"
"GEGA";"Gomphonema elegans";"NA";"GOMPHONEMA";"Gomphonema elegans";"GELE";"GELE"
"GEBK";"Gomphonema elegans var. baikalensis";"NA";"GOMPHONEMA";"Gomphonema elegans";"GIOC";"GIOC"
"GEQU";"Gomphonema elegans var. quadripunctatum";"NA";"GOMPHONEMA";"Gomphonema elegans";"GPOO";"GPOO"
"GELG";"Gomphonema elegantissimum";"NA";"GOMPHONEMA";"Gomphonema elegantissimum";"GELG";"GELG"
"GOEL";"Gomphonema ellipsis";"NA";"GOMPHONEMA";"Gomphonema ellipsis";"GOEL";"GOEL"
"GENT";"Gomphonema entolejum";"NA";"GOMPHONEMA";"Gomphonema entolejum";"GENT";"GENT"
"GEPI";"Gomphonema epiphanes";"NA";"GOMPHONEMA";"Gomphonema epiphanes";"GEPI";"GEPI"
"GEQD";"Gomphonema equadorianum";"NA";"GOMPHONEMA";"Gomphonema equadorianum";"GEQD";"GEQD"
"GOER";"Gomphonema eriense";"NA";"GOMPHONEMA";"Gomphonema eriense";"GERI";"GERI"
"GEBA";"Gomphonema eriense var. baicalensis";"NA";"GOMPHONEMA";"Gomphonema eriense";"GDEL";"GDEL"
"GECO";"Gomphonema eriense var. costatum";"NA";"GOMPHONEMA";"Gomphonema eriense";"GECO";"GECO"
"GECU";"Gomphonema eriense var. cuneatum";"NA";"GOMPHONEMA";"Gomphonema eriense";"GECU";"GECU"
"GEEL";"Gomphonema eriense var. elongatum";"NA";"GOMPHONEMA";"Gomphonema eriense";"GEEL";"GEEL"
"GEUR";"Gomphonema eurycephalus";"NA";"GOMPHONEMA";"Gomphonema eurycephalus";"GEUR";"GEUR"
"GEVN";"Gomphonema evanescens";"NA";"GOMPHONEMA";"Gomphonema evanescens";"GEVN";"GEVN"
"GEVO";"Gomphonema evolutionensis";"NA";"GOMPHONEMA";"Gomphonema evolutionensis";"GEVO";"GEVO"
"GEPL";"Gomphonema exiguum var. platypus";"NA";"GOMPHONEMA";"Gomphonema exiguum";"GOEP";"GOEP"
"GEXG";"Gomphonema exiguum";"NA";"GOMPHONEMA";"Gomphonema exiguum";"GEXG";"GEXG"
"GEMI";"Gomphonema exiguum var. minutissimum";"NA";"GOMPHONEMA";"Gomphonema exiguum";"GOOB";"GOOB"
"GEXL";"Gomphonema exilissimum";"NA";"GOMPHONEMA";"Gomphonema exilissimum";"GEXL";"GEXL"
"GETG";"Gomphonema exilissimum f. anormale";"NA";"GOMPHONEMA";"Gomphonema exilissimum";"GETG";"DEFO"
"GEXT";"Gomphonema extentum";"NA";"GOMPHONEMA";"Gomphonema extentum";"GEXT";"GEXT"
"GFAN";"Gomphonema fanensis";"NA";"GOMPHONEMA";"Gomphonema fanensis";"GANT";"GANT"
"GFAK";"Gomphonema farakulumensis";"NA";"GOMPHONEMA";"Gomphonema farakulumensis";"GFAK";"GFAK"
"GFFO";"Gomphonema fereformosum";"NA";"GOMPHONEMA";"Gomphonema fereformosum";"GFFO";"GFFO"
"GFIR";"Gomphonema firmum";"NA";"GOMPHONEMA";"Gomphonema firmum";"GFIR";"GFIR"
"GFLB";"Gomphonema flabellatum";"NA";"GOMPHONEMA";"Gomphonema flabellatum";"LFLA";"LFLA"
"GFTL";"Gomphonema fonticolum";"NA";"GOMPHONEMA";"Gomphonema fonticolum";"GFON";"GFON"
"GFOR";"Gomphonema forte";"NA";"GOMPHONEMA";"Gomphonema forte";"GFOR";"GFOR"
"GFRE";"Gomphonema freesei";"NA";"GOMPHONEMA";"Gomphonema freesei";"GFRE";"GFRE"
"GFKE";"Gomphonema frickei";"NA";"GOMPHONEMA";"Gomphonema frickei";"GFRK";"GFRK"
"GFRK";"Gomphonema frickei";"NA";"GOMPHONEMA";"Gomphonema frickei";"GFRK";"GFRK"
"GFRA";"Gomphonema frickei var. andina";"NA";"GOMPHONEMA";"Gomphonema frickei";"GFRA";"GFRA"
"GFRI";"Gomphonema frigidum";"NA";"GOMPHONEMA";"Gomphonema frigidum";"GFRI";"GFRI"
"GGAL";"Gomphonema gallaudii";"NA";"GOMPHONEMA";"Gomphonema gallaudii";"GGAL";"GGAL"
"GGAN";"Gomphonema gallaudii var. araucaniana";"NA";"GOMPHONEMA";"Gomphonema gallaudii";"GGAN";"GGAN"
"GGAD";"Gomphonema gandhii";"NA";"GOMPHONEMA";"Gomphonema gandhii";"GGAD";"GGAD"
"GGAR";"Gomphonema garciae";"NA";"GOMPHONEMA";"Gomphonema garciae";"GGAR";"GGAR"
"GGTI";"Gomphonema gautieri";"NA";"GOMPHONEMA";"Gomphonema gautieri";"GGTI";"GGTI"
"GGAF";"Gomphonema gautieriforme";"NA";"GOMPHONEMA";"Gomphonema gautieriforme";"GGAF";"GGAF"
"GGEI";"Gomphonema geisslerae";"NA";"GOMPHONEMA";"Gomphonema geisslerae";"GGEI";"GGEI"
"GGEM";"Gomphonema geminatum";"NA";"GOMPHONEMA";"Gomphonema geminatum";"DGGE";"DGGE"
"GGHY";"Gomphonema geminatum var.hybrida";"NA";"GOMPHONEMA";"Gomphonema geminatum";"DSIB";"DSIB"
"GGST";"Gomphonema genestoermeri";"NA";"GOMPHONEMA";"Gomphonema genestoermeri";"GGST";"GGST"
"GGEN";"Gomphonema genkalii";"NA";"GOMPHONEMA";"Gomphonema genkalii";"GGEN";"GGEN"
"GGER";"Gomphonema germainii";"NA";"GOMPHONEMA";"Gomphonema germainii";"GGER";"GGER"
"GGIB";"Gomphonema gibba";"NA";"GOMPHONEMA";"Gomphonema gibba";"GGIB";"GGIB"
"GGBR";"Gomphonema gibberum";"NA";"GOMPHONEMA";"Gomphonema gibberum";"GGBR";"GGBR"
"GGLO";"Gomphonema globiferum";"NA";"GOMPHONEMA";"Gomphonema globiferum";"GGLO";"GGLO"
"GGPL";"Gomphonema gomphopleuroides";"NA";"GOMPHONEMA";"Gomphonema gomphopleuroides";"GGPO";"GGPO"
"GGPO";"Gomphonema gomphopleuroides";"NA";"GOMPHONEMA";"Gomphonema gomphopleuroides";"GGPO";"GGPO"
"GGOG";"Gomphonema gongylodeum";"NA";"GOMPHONEMA";"Gomphonema gongylodeum";"GGOG";"GGOG"
"GGOR";"Gomphonema gordejevi";"NA";"GOMPHONEMA";"Gomphonema gordejevi";"GGOR";"GGOR"
"GGRA";"Gomphonema gracile";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGRA";"GGRA"
"GGRT";"Gomphonema gracile f. anormale";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGRT";"DEFO"
"GGPA";"Gomphonema gracile f. parva";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGDI";"GGDI"
"GGTU";"Gomphonema gracile f. turris";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGTU";"GGTU"
"GGAC";"Gomphonema gracile var. acutiuscula";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGAC";"GGAC"
"GGAU";"Gomphonema gracile var. aurita";"NA";"GOMPHONEMA";"Gomphonema gracile";"GAUR";"GAUR"
"GGCL";"Gomphonema gracile var. clavicula";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGCL";"GGCL"
"GGCY";"Gomphonema gracile var. cymbelloides";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGCY";"GGCY"
"GGFR";"Gomphonema gracile var. frickei";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGFR";"GGFR"
"GGLA";"Gomphonema gracile var. lanceolata";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGLA";"GGLA"
"GGMA";"Gomphonema gracile var. major";"NA";"GOMPHONEMA";"Gomphonema gracile";"GARV";"GARV"
"GGNA";"Gomphonema gracile var. naviculoides";"NA";"GOMPHONEMA";"Gomphonema gracile";"GNVC";"GNVC"
"GGSC";"Gomphonema gracile var. subcapitata";"NA";"GOMPHONEMA";"Gomphonema gracile";"GGSC";"GGSC"
"GGDI";"Gomphonema graciledictum";"NA";"GOMPHONEMA";"Gomphonema graciledictum";"GGDI";"GGDI"
"GGLD";"Gomphonema graciloides";"NA";"GOMPHONEMA";"Gomphonema graciloides";"GGLD";"GGLD"
"GGLT";"Gomphonema graciolatum";"NA";"GOMPHONEMA";"Gomphonema graciolatum";"GGLT";"GGLT"
"GGRD";"Gomphonema grande";"NA";"GOMPHONEMA";"Gomphonema grande";"GGRD";"GGRD"
"GGCA";"Gomphonema grandicapitatum";"NA";"GOMPHONEMA";"Gomphonema grandicapitatum";"GSGC";"GSGC"
"GGMK";"Gomphonema grasmueckii";"NA";"GOMPHONEMA";"Gomphonema grasmueckii";"GGMK";"GGMK"
"GGRE";"Gomphonema gregarium";"NA";"GOMPHONEMA";"Gomphonema gregarium";"GGRE";"GGRE"
"GGRL";"Gomphonema groenlandicum";"NA";"GOMPHONEMA";"Gomphonema groenlandicum";"PGGR";"PGGR"
"GGRO";"Gomphonema grovei";"NA";"GOMPHONEMA";"Gomphonema grovei";"GPGR";"GPGR"
"GGCO";"Gomphonema grovei var. conspicua";"NA";"GOMPHONEMA";"Gomphonema grovei";"GGCO";"GGCO"
"GGHE";"Gomphonema grovei var. hermanniana";"NA";"GOMPHONEMA";"Gomphonema grovei";"GGHE";"GGHE"
"GGLC";"Gomphonema grovei var. lanceolata";"NA";"GOMPHONEMA";"Gomphonema grovei";"GGLC";"GGLC"
"GGLI";"Gomphonema grovei var. lingulatum";"NA";"GOMPHONEMA";"Gomphonema grovei";"GPGL";"GPGL"
"GGRH";"Gomphonema grovei var. rhomboidea";"NA";"GOMPHONEMA";"Gomphonema grovei";"GGRH";"GGRH"
"GGRU";"Gomphonema grunowii";"NA";"GOMPHONEMA";"Gomphonema grunowii";"GGRU";"GGRU"
"GGUA";"Gomphonema guaraniarum";"NA";"GOMPHONEMA";"Gomphonema guaraniarum";"GGUA";"GGUA"
"GGAY";"Gomphonema guayabense";"NA";"GOMPHONEMA";"Gomphonema guayabense";"GGAY";"GGAY"
"GGUT";"Gomphonema guettingeri";"NA";"GOMPHONEMA";"Gomphonema guettingeri";"GGUT";"GGUT"
"GGTR";"Gomphonema gutturatum";"NA";"GOMPHONEMA";"Gomphonema gutturatum";"GGTR";"GGTR"
"GGSI";"Gomphonema gutturatum var. simplex";"NA";"GOMPHONEMA";"Gomphonema gutturatum";"GGSI";"GGSI"
"GHAE";"Gomphonema haesitans";"NA";"GOMPHONEMA";"Gomphonema haesitans";"GHAE";"GHAE"
"GHAT";"Gomphonema hasta";"NA";"GOMPHONEMA";"Gomphonema hasta";"GHAT";"GHAT"
"GHAS";"Gomphonema hastatum";"NA";"GOMPHONEMA";"Gomphonema hastatum";"GHAS";"GHAS"
"GHTL";"Gomphonema hatherlianum";"NA";"GOMPHONEMA";"Gomphonema hatherlianum";"GHTL";"GHTL"
"GHEB";"Gomphonema hebridense";"NA";"GOMPHONEMA";"Gomphonema hebridense";"GHEB";"GHEB"
"GHED";"Gomphonema hedinii";"NA";"GOMPHONEMA";"Gomphonema hedinii";"GSHD";"GSHD"
"GHLI";"Gomphonema hedinii var. lineare";"NA";"GOMPHONEMA";"Gomphonema hedinii";"GSLI";"GSLI"
"GHBK";"Gomphonema heideni var. baikalensis";"NA";"GOMPHONEMA";"Gomphonema heideni";"GJAS";"GJAS"
"GHMG";"Gomphonema heideni var. mingiana";"NA";"GOMPHONEMA";"Gomphonema heideni";"GHMG";"GHMG"
"GHEI";"Gomphonema heilongtanensis";"NA";"GOMPHONEMA";"Gomphonema heilongtanensis";"GHEI";"GHEI"
"GHEL";"Gomphonema helveticum";"NA";"GOMPHONEMA";"Gomphonema helveticum";"GHEL";"GHEL"
"GHIN";"Gomphonema helveticum var. incurvatum";"NA";"GOMPHONEMA";"Gomphonema helveticum";"GHIN";"GHIN"
"GHTE";"Gomphonema helveticum var. tenuis";"NA";"GOMPHONEMA";"Gomphonema helveticum";"GTNU";"GTNU"
"GHMA";"Gomphonema hermanniana";"NA";"GOMPHONEMA";"Gomphonema hermanniana";"GGHE";"GGHE"
"GHZI";"Gomphonema Hinziae";"NA";"GOMPHONEMA";"Gomphonema Hinziae";"GHZI";"GHZI"
"GHOL";"Gomphonema holmquistii";"NA";"GOMPHONEMA";"Gomphonema holmquistii";"GPHQ";"GPHQ"
"GHAL";"Gomphonema holmquistii var. alaskaensis";"NA";"GOMPHONEMA";"Gomphonema holmquistii";"GPHA";"GPHA"
"GHIR";"Gomphonema hristovskii";"NA";"GOMPHONEMA";"Gomphonema hristovskii";"GHIR";"GHIR"
"GHUE";"Gomphonema huebeneri";"NA";"GOMPHONEMA";"Gomphonema huebeneri";"GHUE";"GHUE"
"GHUS";"Gomphonema hustedtii";"NA";"GOMPHONEMA";"Gomphonema hustedtii";"GHUS";"GHUS"
"GIBE";"Gomphonema ibericum";"NA";"GOMPHONEMA";"Gomphonema ibericum";"GIBE";"GIBE"
"GIDB";"Gomphonema idsbense";"NA";"GOMPHONEMA";"Gomphonema idsbense";"GIDB";"GIDB"
"GIPF";"Gomphonema imperfecta";"NA";"GOMPHONEMA";"Gomphonema imperfecta";"GIPF";"GIPF"
"GIMP";"Gomphonema imprime";"NA";"GOMPHONEMA";"Gomphonema imprime";"GIMP";"GIMP"
"GINA";"Gomphonema inaequilongum";"NA";"GOMPHONEMA";"Gomphonema inaequilongum";"GINA";"GINA"
"GICG";"Gomphonema incognitum";"NA";"GOMPHONEMA";"Gomphonema incognitum";"GICG";"GICG"
"GIDT";"Gomphonema indistinctum";"NA";"GOMPHONEMA";"Gomphonema indistinctum";"GIDT";"GIDT"
"GITU";"Gomphonema innata";"NA";"GOMPHONEMA";"Gomphonema innata";"GITU";"GITU"
"GIOC";"Gomphonema innatum var. octopunctatum";"NA";"GOMPHONEMA";"Gomphonema innatum";"GIOC";"GIOC"
"GINN";"Gomphonema innocens";"NA";"GOMPHONEMA";"Gomphonema innocens";"GINN";"GINN"
"GIAF";"Gomphonema insignaffine";"NA";"GOMPHONEMA";"Gomphonema insignaffine";"GIAF";"GIAF"
"GINS";"Gomphonema insigne";"NA";"GOMPHONEMA";"Gomphonema insigne";"GAFI";"GAFI"
"GISF";"Gomphonema insigniforme";"NA";"GOMPHONEMA";"Gomphonema insigniforme";"GISF";"GISF"
"GITB";"Gomphonema instabilis";"NA";"GOMPHONEMA";"Gomphonema instabilis";"GITB";"GITB"
"GISU";"Gomphonema insuetum";"NA";"GOMPHONEMA";"Gomphonema insuetum";"GISU";"GISU"
"GILR";"Gomphonema insularum";"NA";"GOMPHONEMA";"Gomphonema insularum";"GILR";"GILR"
